facet	hue	bin_center	mean_density	error	n_seeds
cross	3	2.816131e-05	0.000000e+00	0.000000e+00	100
cross	3	2.848000e-05	0.000000e+00	0.000000e+00	100
cross	3	2.880230e-05	0.000000e+00	0.000000e+00	100
cross	3	2.912824e-05	0.000000e+00	0.000000e+00	100
cross	3	2.945788e-05	0.000000e+00	0.000000e+00	100
cross	3	2.979124e-05	0.000000e+00	0.000000e+00	100
cross	3	3.012837e-05	0.000000e+00	0.000000e+00	100
cross	3	3.046932e-05	0.000000e+00	0.000000e+00	100
cross	3	3.081413e-05	0.000000e+00	0.000000e+00	100
cross	3	3.116284e-05	0.000000e+00	0.000000e+00	100
cross	3	3.151550e-05	0.000000e+00	0.000000e+00	100
cross	3	3.187215e-05	0.000000e+00	0.000000e+00	100
cross	3	3.223283e-05	0.000000e+00	0.000000e+00	100
cross	3	3.259760e-05	0.000000e+00	0.000000e+00	100
cross	3	3.296649e-05	0.000000e+00	0.000000e+00	100
cross	3	3.333956e-05	0.000000e+00	0.000000e+00	100
cross	3	3.371685e-05	1.307419e+05	1.519725e+04	100
cross	3	3.409841e-05	0.000000e+00	0.000000e+00	100
cross	3	3.448429e-05	0.000000e+00	0.000000e+00	100
cross	3	3.487453e-05	0.000000e+00	0.000000e+00	100
cross	3	3.526919e-05	0.000000e+00	0.000000e+00	100
cross	3	3.566832e-05	0.000000e+00	0.000000e+00	100
cross	3	3.607196e-05	0.000000e+00	0.000000e+00	100
cross	3	3.648017e-05	0.000000e+00	0.000000e+00	100
cross	3	3.689301e-05	0.000000e+00	0.000000e+00	100
cross	3	3.731051e-05	0.000000e+00	0.000000e+00	100
cross	3	3.773274e-05	0.000000e+00	0.000000e+00	100
cross	3	3.815974e-05	0.000000e+00	0.000000e+00	100
cross	3	3.859158e-05	0.000000e+00	0.000000e+00	100
cross	3	3.902831e-05	0.000000e+00	0.000000e+00	100
cross	3	3.946997e-05	0.000000e+00	0.000000e+00	100
cross	3	3.991664e-05	0.000000e+00	0.000000e+00	100
cross	3	4.036836e-05	0.000000e+00	0.000000e+00	100
cross	3	4.082519e-05	0.000000e+00	0.000000e+00	100
cross	3	4.128719e-05	0.000000e+00	0.000000e+00	100
cross	3	4.175442e-05	0.000000e+00	0.000000e+00	100
cross	3	4.222694e-05	0.000000e+00	0.000000e+00	100
cross	3	4.270480e-05	0.000000e+00	0.000000e+00	100
cross	3	4.318808e-05	0.000000e+00	0.000000e+00	100
cross	3	4.367682e-05	0.000000e+00	0.000000e+00	100
cross	3	4.417109e-05	0.000000e+00	0.000000e+00	100
cross	3	4.467096e-05	0.000000e+00	0.000000e+00	100
cross	3	4.517648e-05	0.000000e+00	0.000000e+00	100
cross	3	4.568772e-05	0.000000e+00	0.000000e+00	100
cross	3	4.620475e-05	0.000000e+00	0.000000e+00	100
